STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2006-01-01,2006-02-13,,,,
2006-01-08,2006-02-20,,,,
2006-01-15,2006-02-27,,,,
2006-01-22,2006-03-06,,,,
2006-01-29,2006-03-13,,,,
2006-02-05,2006-03-20,,,,
2006-02-12,2006-03-27,,,,
2006-02-19,2006-04-03,,,,
2006-02-26,2006-04-10,,,,
2006-03-05,2006-04-17,,,,
2006-03-12,2006-04-24,,,,
2006-03-19,2006-05-01,,,,
2006-03-26,2006-05-08,,,,
2006-04-02,2006-05-15,,,,
2006-04-09,2006-05-22,,,,
2006-04-16,2006-05-29,,,,
2006-04-23,2006-06-05,,,,
2006-04-30,2006-06-12,,,,
2006-05-07,2006-06-19,,,,
2006-05-14,2006-06-26,,,,
2006-05-21,2006-07-03,,,,
2006-05-28,2006-07-10,,,,
2006-06-04,2006-07-17,,,,
2006-06-11,2006-07-24,,,,
2006-06-18,2006-07-31,,,,
2006-06-25,2006-08-07,,,,
2006-07-02,2006-08-14,,,,
2006-07-09,2006-08-21,,,,
2006-07-16,2006-08-28,,,,
2006-07-23,2006-09-04,,,,
2006-07-30,2006-09-11,,,,
2006-08-06,2006-09-18,,,,
2006-08-13,2006-09-25,,,,
2006-08-20,2006-10-02,,,,
2006-08-27,2006-10-09,,,,
2006-09-03,2006-10-16,,,,
2006-09-10,2006-10-23,,,,
2006-09-17,2006-10-30,,,,
2006-09-24,2006-11-06,,,,
2006-10-01,2006-11-13,,,,
2006-10-08,2006-11-20,,,,
2006-10-15,2006-11-27,,,,
2006-10-22,2006-12-04,,,,
2006-10-29,2006-12-11,,,,
2006-11-05,2006-12-18,,,,
2006-11-12,2006-12-25,,,,
2006-11-19,2007-01-01,,,,
2006-11-26,2007-01-08,,,,
2006-12-03,2007-01-15,,,,
2006-12-10,2007-01-22,,,,
2006-12-17,2007-01-29,,,,
2006-12-24,2007-02-05,,,,
2006-12-31,2007-02-12,,,,
2007-01-01,2007-02-13,120.0,157.65240294371227,700.0,Anomaly
2007-01-08,2007-02-20,120.0,144.09895837529498,750.0,Anomaly
2007-01-15,2007-02-27,119.62962962962963,140.22241516541845,750.0,Anomaly
2007-01-22,2007-03-06,119.0,139.02290409584734,750.0,Anomaly
2007-01-29,2007-03-13,119.0,136.83333333333334,750.0,Anomaly
2007-02-05,2007-03-20,120.33964128432291,138.38611785728833,749.3842351428087,Anomaly
2007-02-12,2007-03-27,126.17475215378755,140.49782148044318,650.0,Anomaly
2007-02-19,2007-04-03,133.5,145.0524922803182,565.0000004897959,Anomaly
2007-02-26,2007-04-10,134.00000133333685,147.66666711111228,550.0,Anomaly
2007-03-05,2007-04-17,131.9179784581274,146.9726594860425,535.9289641971989,Anomaly
2007-03-12,2007-04-24,126.00931191598244,145.33643730532748,550.0,Anomaly
2007-03-19,2007-05-01,125.58201902366847,142.5197642422028,525.0,Anomaly
2007-03-26,2007-05-08,125.58201902366847,141.14048584296054,525.0,Anomaly
