STARTDATE,ENDDATE,MEDIAN,MAD,VALUE,TYPE
2006-01-01,2006-02-13,,,,
2006-01-08,2006-02-20,,,,
2006-01-15,2006-02-27,,,,
2006-01-22,2006-03-06,,,,
2006-01-29,2006-03-13,,,,
2006-02-01,2006-03-16,120.0,154.04299836259176,350.0,Anomaly
2006-02-08,2006-03-23,120.0,146.68456374327644,350.0,Anomaly
2006-02-15,2006-03-30,119.56481481481481,141.09851228856746,350.0,Anomaly
2006-02-22,2006-04-06,119.0,139.02290409584734,363.0,Anomaly
2006-03-01,2006-04-13,119.00925925925927,137.3719135802469,363.0,Anomaly
2006-03-08,2006-04-20,121.22242624358205,139.94914208119403,363.0,Anomaly
2006-03-15,2006-04-27,127.99959318998707,141.92798311125267,350.0,Anomaly
2006-03-22,2006-05-04,133.5,146.2145175161921,350.0,Anomaly
2006-03-29,2006-05-11,133.75000066666843,147.87665258347405,363.0,Anomaly
2006-04-05,2006-05-18,131.80162916328072,146.9080575890696,350.0,Anomaly
2006-04-12,2006-05-25,125.79566546982545,144.09855515660848,350.0,Anomaly
2006-04-19,2006-06-01,125.58201902366847,142.5197642422028,350.0,Anomaly
2006-04-26,2006-06-08,125.58201902366847,141.14048584296054,350.0,Anomaly
2006-05-03,2006-06-15,121.50925925445816,139.30032082333142,350.0,Anomaly
2006-05-10,2006-06-22,121.0,138.62924554130146,355.99999807999916,Anomaly
2006-05-17,2006-06-29,123.5,139.19583716557085,355.99999807999916,Anomaly
2006-05-24,2006-07-06,123.5,139.08333333333334,356.5,Anomaly
2006-05-31,2006-07-13,123.5,139.3141664807893,375.0,Anomaly
2006-06-07,2006-07-20,123.5,139.91078677450005,400.0,Anomaly
2006-06-14,2006-07-27,139.24467304244098,147.1781779745244,400.0,Anomaly
2006-06-21,2006-08-03,141.0,153.75,400.0,Anomaly
2006-06-28,2006-08-10,141.5,157.1666665066666,400.0,Anomaly
2006-07-05,2006-08-17,143.80343993951692,163.805549392968,400.0,Anomaly
2006-07-12,2006-08-24,150.37102714031846,165.16141179323517,400.0,Anomaly
2006-07-19,2006-08-31,150.37102714031846,164.19433656476482,400.0,Anomaly
2006-07-26,2006-09-07,150.37102714031846,163.98600323143145,400.0,Anomaly
2006-08-02,2006-09-14,163.17396510795191,169.45487386686992,400.0,Normal
2006-08-09,2006-09-21,163.4285725623586,174.5974724962481,450.0,Anomaly
2006-08-16,2006-09-28,163.4285725623586,177.8239871804616,479.9578929737398,Anomaly
2006-08-23,2006-10-05,165.75,178.55154892050777,450.0,Anomaly
2006-08-30,2006-10-12,163.96428628117928,177.82976780435766,450.0,Anomaly
2006-09-06,2006-10-19,165.75,186.3662194023609,425.0,Normal
2006-09-13,2006-10-26,169.75,192.4476317154645,429.4904458456327,Normal
2006-09-20,2006-11-02,167.72727299845045,181.75092302450855,429.4904458456327,Normal
2006-09-27,2006-11-09,170.0,181.90098053709275,450.0,Anomaly
